group,dimension,birth,death,length
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,1,1
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,3,3
mixed,0,0,3,3
mixed,0,0,3,3
mixed,0,0,3,3
mixed,0,0,3,3
mixed,0,0,3,3
mixed,0,0,3,3
mixed,0,0,3,3
mixed,0,0,3,3
mixed,0,0,3,3
mixed,0,0,3,3
mixed,0,0,3,3
mixed,0,0,3,3
mixed,0,0,3,3
mixed,0,0,3,3
mixed,0,0,4,4
mixed,0,0,5,5
mixed,0,0,5,5
mixed,0,0,5,5
mixed,0,0,6,6
mixed,0,0,6,6
mixed,0,0,10,10
