group,dimension,birth,death,length
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,4,4
nonrecombinant,0,0,4,4
nonrecombinant,0,0,4,4
nonrecombinant,0,0,4,4
nonrecombinant,0,0,4,4
nonrecombinant,0,0,4,4
nonrecombinant,0,0,6,6
nonrecombinant,0,0,8,8
nonrecombinant,0,0,8,8
nonrecombinant,0,0,12,12
nonrecombinant,1,8,10,2
nonrecombinant,1,2,4,2
